Issue Type,Summary,Description,Priority,Epic Name,Labels,Component/s
Epic,[AC-1] Access Control,"# NIST 800-53 Rev 4 Control: AC-1

**Control Family:** Access Control

**RMF Steps:**
1. ✅ PREPARE - Control identified and selected
2. 🔄 IMPLEMENT - Deploy control requirements
3. 🔄 ASSESS - Test control effectiveness
4. 🔄 AUTHORIZE - Document and approve
5. 🔄 MONITOR - Continuous assessment

**CCIs Mapped:** 3

**Sample Text:** Access Control - Control 1

---
*This Epic tracks the complete RMF lifecycle for control AC-1.*
*Create child Stories for Implementation, Assessment, and Verification tasks.*
",High,AC-1,"RMF,NIST-800-53,AC,AC_1",Access Control
Epic,[AC-10] Access Control,"# NIST 800-53 Rev 4 Control: AC-10

**Control Family:** Access Control

**RMF Steps:**
1. ✅ PREPARE - Control identified and selected
2. 🔄 IMPLEMENT - Deploy control requirements
3. 🔄 ASSESS - Test control effectiveness
4. 🔄 AUTHORIZE - Document and approve
5. 🔄 MONITOR - Continuous assessment

**CCIs Mapped:** 3

**Sample Text:** Access Control - Control 10

---
*This Epic tracks the complete RMF lifecycle for control AC-10.*
*Create child Stories for Implementation, Assessment, and Verification tasks.*
",High,AC-10,"RMF,NIST-800-53,AC,AC_10",Access Control
Epic,[AC-2] Access Control,"# NIST 800-53 Rev 4 Control: AC-2

**Control Family:** Access Control

**RMF Steps:**
1. ✅ PREPARE - Control identified and selected
2. 🔄 IMPLEMENT - Deploy control requirements
3. 🔄 ASSESS - Test control effectiveness
4. 🔄 AUTHORIZE - Document and approve
5. 🔄 MONITOR - Continuous assessment

**CCIs Mapped:** 3

**Sample Text:** Access Control - Control 2

---
*This Epic tracks the complete RMF lifecycle for control AC-2.*
*Create child Stories for Implementation, Assessment, and Verification tasks.*
",High,AC-2,"RMF,NIST-800-53,AC,AC_2",Access Control
Epic,[AC-3] Access Control,"# NIST 800-53 Rev 4 Control: AC-3

**Control Family:** Access Control

**RMF Steps:**
1. ✅ PREPARE - Control identified and selected
2. 🔄 IMPLEMENT - Deploy control requirements
3. 🔄 ASSESS - Test control effectiveness
4. 🔄 AUTHORIZE - Document and approve
5. 🔄 MONITOR - Continuous assessment

**CCIs Mapped:** 3

**Sample Text:** Access Control - Control 3

---
*This Epic tracks the complete RMF lifecycle for control AC-3.*
*Create child Stories for Implementation, Assessment, and Verification tasks.*
",High,AC-3,"RMF,NIST-800-53,AC,AC_3",Access Control
Epic,[AC-4] Access Control,"# NIST 800-53 Rev 4 Control: AC-4

**Control Family:** Access Control

**RMF Steps:**
1. ✅ PREPARE - Control identified and selected
2. 🔄 IMPLEMENT - Deploy control requirements
3. 🔄 ASSESS - Test control effectiveness
4. 🔄 AUTHORIZE - Document and approve
5. 🔄 MONITOR - Continuous assessment

**CCIs Mapped:** 3

**Sample Text:** Access Control - Control 4

---
*This Epic tracks the complete RMF lifecycle for control AC-4.*
*Create child Stories for Implementation, Assessment, and Verification tasks.*
",High,AC-4,"RMF,NIST-800-53,AC,AC_4",Access Control
Epic,[AC-5] Access Control,"# NIST 800-53 Rev 4 Control: AC-5

**Control Family:** Access Control

**RMF Steps:**
1. ✅ PREPARE - Control identified and selected
2. 🔄 IMPLEMENT - Deploy control requirements
3. 🔄 ASSESS - Test control effectiveness
4. 🔄 AUTHORIZE - Document and approve
5. 🔄 MONITOR - Continuous assessment

**CCIs Mapped:** 3

**Sample Text:** Access Control - Control 5

---
*This Epic tracks the complete RMF lifecycle for control AC-5.*
*Create child Stories for Implementation, Assessment, and Verification tasks.*
",High,AC-5,"RMF,NIST-800-53,AC,AC_5",Access Control
Epic,[AC-6] Access Control,"# NIST 800-53 Rev 4 Control: AC-6

**Control Family:** Access Control

**RMF Steps:**
1. ✅ PREPARE - Control identified and selected
2. 🔄 IMPLEMENT - Deploy control requirements
3. 🔄 ASSESS - Test control effectiveness
4. 🔄 AUTHORIZE - Document and approve
5. 🔄 MONITOR - Continuous assessment

**CCIs Mapped:** 3

**Sample Text:** Access Control - Control 6

---
*This Epic tracks the complete RMF lifecycle for control AC-6.*
*Create child Stories for Implementation, Assessment, and Verification tasks.*
",High,AC-6,"RMF,NIST-800-53,AC,AC_6",Access Control
Epic,[AC-7] Access Control,"# NIST 800-53 Rev 4 Control: AC-7

**Control Family:** Access Control

**RMF Steps:**
1. ✅ PREPARE - Control identified and selected
2. 🔄 IMPLEMENT - Deploy control requirements
3. 🔄 ASSESS - Test control effectiveness
4. 🔄 AUTHORIZE - Document and approve
5. 🔄 MONITOR - Continuous assessment

**CCIs Mapped:** 3

**Sample Text:** Access Control - Control 7

---
*This Epic tracks the complete RMF lifecycle for control AC-7.*
*Create child Stories for Implementation, Assessment, and Verification tasks.*
",High,AC-7,"RMF,NIST-800-53,AC,AC_7",Access Control
Epic,[AC-8] Access Control,"# NIST 800-53 Rev 4 Control: AC-8

**Control Family:** Access Control

**RMF Steps:**
1. ✅ PREPARE - Control identified and selected
2. 🔄 IMPLEMENT - Deploy control requirements
3. 🔄 ASSESS - Test control effectiveness
4. 🔄 AUTHORIZE - Document and approve
5. 🔄 MONITOR - Continuous assessment

**CCIs Mapped:** 3

**Sample Text:** Access Control - Control 8

---
*This Epic tracks the complete RMF lifecycle for control AC-8.*
*Create child Stories for Implementation, Assessment, and Verification tasks.*
",High,AC-8,"RMF,NIST-800-53,AC,AC_8",Access Control
Epic,[AC-9] Access Control,"# NIST 800-53 Rev 4 Control: AC-9

**Control Family:** Access Control

**RMF Steps:**
1. ✅ PREPARE - Control identified and selected
2. 🔄 IMPLEMENT - Deploy control requirements
3. 🔄 ASSESS - Test control effectiveness
4. 🔄 AUTHORIZE - Document and approve
5. 🔄 MONITOR - Continuous assessment

**CCIs Mapped:** 3

**Sample Text:** Access Control - Control 9

---
*This Epic tracks the complete RMF lifecycle for control AC-9.*
*Create child Stories for Implementation, Assessment, and Verification tasks.*
",High,AC-9,"RMF,NIST-800-53,AC,AC_9",Access Control
